id,subject,file_path,line_number,content
36043,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-common-project/hadoop-common/target/surefire-reports/org.apache.hadoop.security.TestKDiag-output.txt,1467,"2021-01-27 10:33:20,413 INFO  security.TestKDiag (TestKDiag.java:dump(238)) - test.cache.data = ""/home/users/hzhang/project/repo2test/hadoop-trunk/hadoop-common-project/hadoop-common/target/test-classes"""
20123,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/target/surefire-reports/org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.TestLeafQueue-output.txt,1737,"2021-01-27 17:59:22,253 INFO  [main] capacity.TestLeafQueue (TestLeafQueue.java:testDRFUserLimits(860)) - resource:<memory:1024, vCores:40>; type:OFF_SWITCH; excessReservation:null; applicationid:application_0_0000; skipped:NONE; fulfilled reservation:false; allocations(count/resource):1/<memory:1024, vCores:40>; reservations(count/resource):0/<memory:0, vCores:0>"
634815,tomcat-master,/Users/holen/DegreeProject/mstracker-RQ3/tomcat-master/output/build/logs/TEST-org.apache.catalina.mbeans.TestRegistration.NIO.txt,23,03-Mar-2021 00:31:32.933 INFO [main] org.apache.catalina.mbeans.TestRegistration.testMBeanDeregistration 
36838,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-common-project/hadoop-common/target/surefire-reports/org.apache.hadoop.security.token.delegation.TestDelegationToken-output.txt,10140,"2021-01-27 10:34:51,387 INFO  delegation.TestDelegationToken (TestDelegationToken.java:shouldThrow(212)) - Caught an exception: "
12059,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ6293Test-output.txt,13,"2020-12-10 16:26:43,040 [me-limited test] - INFO  AMQ6293Test                    - Sent 5000 messages"
43368,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.TestDFSFinalize-output.txt,1317,"2021-01-27 15:59:36,242 [Listener at localhost/40763] INFO  hdfs.TestDFSFinalize (TestDFSFinalize.java:log(56)) - ============================================================"
34223,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-common-project/hadoop-common/target/surefire-reports/org.apache.hadoop.ha.TestActiveStandbyElector-output.txt,89,"2021-01-27 10:29:42,272 INFO  ha.ActiveStandbyElector (TestActiveStandbyElector.java:sleepFor(79)) - Would have slept for 1000ms"
626261,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-server/target/surefire-reports/org.apache.hadoop.hbase.rsgroup.TestRSGroupMappingScript-output.txt,9,"2021-03-01 22:37:15,745 INFO  [Time-limited test] rsgroup.TestRSGroupMappingScript(95):   echo other"
81916,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.server.namenode.ha.TestDNFencing-output.txt,13808,"2021-01-27 12:38:52,997 [Listener at localhost/44505] INFO  ha.TestDNFencing (TestDNFencing.java:banner(578)) - "
636021,zookeeper-master,/Users/holen/DegreeProject/mstracker-RQ3/zookeeper-master/zookeeper-server/target/surefire-reports/org.apache.zookeeper.RemoveWatchesCmdTest-output.txt,554,"2021-03-02 00:49:23,961 [myid:] - INFO  [main:RemoveWatchesCmdTest@116] - Remove watchers using shell command : removewatches /testnode1 -d"
